Número do contrato,Data de assinatura do contrato,Valor do contrato,Duração do contrato,Nome da empresa ou fornecedor contratado,Nome da agência governamental,Valor total do contrato,Valor pago até o momento,Valor a ser pago no futuro,Data de pagamento de parcelas,Latitude,Longitude,Região,Estado,Histórico de Pagamentos
5731,2021-06-12,11877.03,3,Santos,Ministério da Justiça,11877.03,9120.38,1527.2600000000011,"[datetime.date(2022, 8, 23), datetime.date(2023, 2, 11), datetime.date(2023, 4, 27)]",0.0356,-51.0706,Norte,AP,"[{'Data Pagamento': datetime.date(2022, 8, 23), 'Valor': 481.71}, {'Data Pagamento': datetime.date(2023, 2, 11), 'Valor': 226.07}, {'Data Pagamento': datetime.date(2023, 4, 27), 'Valor': 521.61}]"
6277,2020-10-30,14457.91,5,Ferreira Cardoso e Filhos,Ministério das Relações Exteriores,14457.91,14033.0,3.9999999999998668,"[datetime.date(2022, 2, 26), datetime.date(2023, 9, 21), datetime.date(2022, 1, 27), datetime.date(2024, 9, 16), datetime.date(2022, 10, 7)]",-16.6864,-49.2643,Centro-Oeste,GO,"[{'Data Pagamento': datetime.date(2022, 2, 26), 'Valor': 214.45}, {'Data Pagamento': datetime.date(2023, 9, 21), 'Valor': 38.44}, {'Data Pagamento': datetime.date(2022, 1, 27), 'Valor': 135.56}, {'Data Pagamento': datetime.date(2024, 9, 16), 'Valor': 17.9}, {'Data Pagamento': datetime.date(2022, 10, 7), 'Valor': 14.56}]"
6546,2019-01-18,42820.04,2,Azevedo,Ministério das Relações Exteriores,42820.04,34146.25,602.860000000001,"[datetime.date(2019, 3, 1), datetime.date(2020, 1, 27)]",-15.7801,-47.9292,Centro-Oeste,DF,"[{'Data Pagamento': datetime.date(2019, 3, 1), 'Valor': 7960.66}, {'Data Pagamento': datetime.date(2020, 1, 27), 'Valor': 110.27}]"
1561,2021-12-01,19150.3,4,Monteiro,Ministério da Defesa,19150.3,18175.45,62.219999999998606,"[datetime.date(2024, 4, 18), datetime.date(2023, 5, 31), datetime.date(2023, 2, 24), datetime.date(2021, 12, 1)]",-3.119,-60.0212,Norte,AM,"[{'Data Pagamento': datetime.date(2024, 4, 18), 'Valor': 595.68}, {'Data Pagamento': datetime.date(2023, 5, 31), 'Valor': 45.57}, {'Data Pagamento': datetime.date(2023, 2, 24), 'Valor': 81.95}, {'Data Pagamento': datetime.date(2021, 12, 1), 'Valor': 189.43}]"
4813,2019-11-16,34838.28,1,Sales Caldeira S.A.,Ministério da Justiça,34838.28,27123.0,3319.8599999999988,"[datetime.date(2020, 9, 8)]",-3.7172,-38.5433,Nordeste,CE,"[{'Data Pagamento': datetime.date(2020, 9, 8), 'Valor': 4395.42}]"
4245,2021-01-08,32762.47,2,da Rocha Ltda.,Ministério da Economia,32762.47,3917.3,6070.410000000002,"[datetime.date(2022, 10, 23), datetime.date(2022, 3, 9)]",2.82185,-60.6715,Norte,RR,"[{'Data Pagamento': datetime.date(2022, 10, 23), 'Valor': 14338.39}, {'Data Pagamento': datetime.date(2022, 3, 9), 'Valor': 8436.37}]"
9355,2020-02-18,43269.14,4,da Conceição Moura - EI,Ministério da Justiça,43269.14,14915.9,123.45999999999967,"[datetime.date(2022, 9, 15), datetime.date(2022, 2, 28), datetime.date(2021, 3, 16), datetime.date(2020, 3, 13)]",-22.9068,-43.1729,Sudeste,RJ,"[{'Data Pagamento': datetime.date(2022, 9, 15), 'Valor': 26701.76}, {'Data Pagamento': datetime.date(2022, 2, 28), 'Valor': 1157.33}, {'Data Pagamento': datetime.date(2021, 3, 16), 'Valor': 226.28}, {'Data Pagamento': datetime.date(2020, 3, 13), 'Valor': 144.41}]"
4508,2020-06-19,45811.82,3,Teixeira Ltda.,Ministério da Defesa,45811.82,42275.41,1367.6699999999962,"[datetime.date(2023, 3, 7), datetime.date(2021, 11, 16), datetime.date(2021, 7, 13)]",-20.3155,-40.3128,Sudeste,ES,"[{'Data Pagamento': datetime.date(2023, 3, 7), 'Valor': 383.35}, {'Data Pagamento': datetime.date(2021, 11, 16), 'Valor': 78.9}, {'Data Pagamento': datetime.date(2021, 7, 13), 'Valor': 1706.49}]"
8031,2020-06-24,11076.86,1,Castro,Ministério do Desenvolvimento Regional,11076.86,5946.98,4402.200000000001,"[datetime.date(2020, 10, 3)]",-15.601,-56.0974,Centro-Oeste,MT,"[{'Data Pagamento': datetime.date(2020, 10, 3), 'Valor': 727.68}]"
4832,2023-03-25,12101.93,3,Monteiro,Ministério do Meio Ambiente,12101.93,10459.69,612.9799999999999,"[datetime.date(2025, 3, 6), datetime.date(2023, 11, 30), datetime.date(2023, 4, 15)]",-15.601,-56.0974,Centro-Oeste,MT,"[{'Data Pagamento': datetime.date(2025, 3, 6), 'Valor': 357.37}, {'Data Pagamento': datetime.date(2023, 11, 30), 'Valor': 56.57}, {'Data Pagamento': datetime.date(2023, 4, 15), 'Valor': 615.32}]"
8166,2020-02-03,13467.3,1,Nogueira S.A.,Ministério das Relações Exteriores,13467.3,12832.64,220.93999999999983,"[datetime.date(2020, 12, 25)]",2.82185,-60.6715,Norte,RR,"[{'Data Pagamento': datetime.date(2020, 12, 25), 'Valor': 413.72}]"
9098,2018-12-14,21256.26,5,Dias,Ministério da Justiça,21256.26,7644.29,33.06999999999769,"[datetime.date(2022, 6, 17), datetime.date(2023, 11, 9), datetime.date(2021, 10, 21), datetime.date(2021, 8, 2), datetime.date(2021, 9, 9)]",-8.04756,-34.877,Nordeste,PE,"[{'Data Pagamento': datetime.date(2022, 6, 17), 'Valor': 8264.15}, {'Data Pagamento': datetime.date(2023, 11, 9), 'Valor': 5012.55}, {'Data Pagamento': datetime.date(2021, 10, 21), 'Valor': 93.9}, {'Data Pagamento': datetime.date(2021, 8, 2), 'Valor': 15.96}, {'Data Pagamento': datetime.date(2021, 9, 9), 'Valor': 192.34}]"
4146,2020-09-11,12470.07,1,Viana,Ministério da Justiça,12470.07,7597.57,2842.59,"[datetime.date(2021, 8, 5)]",-3.7172,-38.5433,Nordeste,CE,"[{'Data Pagamento': datetime.date(2021, 8, 5), 'Valor': 2029.91}]"
7257,2020-12-26,46625.99,2,da Mata S.A.,Ministério das Relações Exteriores,46625.99,17299.3,943.9299999999985,"[datetime.date(2022, 10, 19), datetime.date(2021, 10, 15)]",-7.11509,-34.8641,Nordeste,PB,"[{'Data Pagamento': datetime.date(2022, 10, 19), 'Valor': 21787.68}, {'Data Pagamento': datetime.date(2021, 10, 15), 'Valor': 6595.08}]"
5978,2023-07-08,16072.94,3,Rodrigues Araújo Ltda.,Ministério da Economia,16072.94,6951.44,75.58000000000038,"[datetime.date(2024, 5, 8), datetime.date(2024, 9, 26), datetime.date(2024, 6, 14)]",-30.0328,-51.2176,Sul,RS,"[{'Data Pagamento': datetime.date(2024, 5, 8), 'Valor': 6900.07}, {'Data Pagamento': datetime.date(2024, 9, 26), 'Valor': 1812.57}, {'Data Pagamento': datetime.date(2024, 6, 14), 'Valor': 333.28}]"
4095,2019-03-04,20249.99,5,Oliveira,Ministério da Justiça,20249.99,15770.58,78.08000000000153,"[datetime.date(2021, 4, 8), datetime.date(2021, 12, 11), datetime.date(2020, 4, 24), datetime.date(2019, 7, 25), datetime.date(2022, 10, 5)]",-23.5505,-46.6333,Sudeste,SP,"[{'Data Pagamento': datetime.date(2021, 4, 8), 'Valor': 745.31}, {'Data Pagamento': datetime.date(2021, 12, 11), 'Valor': 3494.03}, {'Data Pagamento': datetime.date(2020, 4, 24), 'Valor': 85.32}, {'Data Pagamento': datetime.date(2019, 7, 25), 'Valor': 50.37}, {'Data Pagamento': datetime.date(2022, 10, 5), 'Valor': 26.3}]"
8416,2019-02-14,34890.73,3,Teixeira - ME,Ministério do Desenvolvimento Regional,34890.73,15448.64,7204.620000000004,"[datetime.date(2019, 5, 23), datetime.date(2020, 12, 16), datetime.date(2020, 12, 28)]",-2.53874,-44.2825,Nordeste,MA,"[{'Data Pagamento': datetime.date(2019, 5, 23), 'Valor': 2108.55}, {'Data Pagamento': datetime.date(2020, 12, 16), 'Valor': 3370.91}, {'Data Pagamento': datetime.date(2020, 12, 28), 'Valor': 6758.01}]"
8929,2023-02-01,27953.4,5,Moura Vieira e Filhos,Ministério da Educação,27953.4,15404.61,70.10000000000221,"[datetime.date(2026, 4, 18), datetime.date(2025, 12, 26), datetime.date(2027, 10, 7), datetime.date(2025, 10, 9), datetime.date(2023, 8, 23)]",-3.7172,-38.5433,Nordeste,CE,"[{'Data Pagamento': datetime.date(2026, 4, 18), 'Valor': 2028.97}, {'Data Pagamento': datetime.date(2025, 12, 26), 'Valor': 8295.22}, {'Data Pagamento': datetime.date(2027, 10, 7), 'Valor': 586.76}, {'Data Pagamento': datetime.date(2025, 10, 9), 'Valor': 1376.02}, {'Data Pagamento': datetime.date(2023, 8, 23), 'Valor': 191.72}]"
6883,2023-08-03,11123.36,2,Barbosa Rocha S.A.,Ministério da Educação,11123.36,5740.77,231.2000000000004,"[datetime.date(2025, 4, 16), datetime.date(2025, 6, 3)]",-9.9747,-67.8076,Norte,AC,"[{'Data Pagamento': datetime.date(2025, 4, 16), 'Valor': 4733.78}, {'Data Pagamento': datetime.date(2025, 6, 3), 'Valor': 417.61}]"
6519,2019-08-24,22304.26,4,da Luz e Filhos,Ministério da Justiça,22304.26,19064.24,289.3499999999967,"[datetime.date(2021, 3, 11), datetime.date(2021, 3, 10), datetime.date(2021, 2, 12), datetime.date(2023, 8, 5)]",-3.7172,-38.5433,Nordeste,CE,"[{'Data Pagamento': datetime.date(2021, 3, 11), 'Valor': 297.63}, {'Data Pagamento': datetime.date(2021, 3, 10), 'Valor': 1583.31}, {'Data Pagamento': datetime.date(2021, 2, 12), 'Valor': 1004.39}, {'Data Pagamento': datetime.date(2023, 8, 5), 'Valor': 65.34}]"
4757,2022-09-21,21223.14,3,Cardoso,Ministério da Justiça,21223.14,8293.76,591.5299999999992,"[datetime.date(2025, 2, 8), datetime.date(2022, 12, 17), datetime.date(2025, 6, 7)]",-15.601,-56.0974,Centro-Oeste,MT,"[{'Data Pagamento': datetime.date(2025, 2, 8), 'Valor': 8761.99}, {'Data Pagamento': datetime.date(2022, 12, 17), 'Valor': 3489.01}, {'Data Pagamento': datetime.date(2025, 6, 7), 'Valor': 86.85}]"
7423,2022-10-24,30709.33,5,Rodrigues,Ministério do Meio Ambiente,30709.33,2579.74,30.420000000002574,"[datetime.date(2024, 6, 24), datetime.date(2024, 8, 11), datetime.date(2024, 1, 7), datetime.date(2023, 6, 23), datetime.date(2024, 8, 11)]",-16.6864,-49.2643,Centro-Oeste,GO,"[{'Data Pagamento': datetime.date(2024, 6, 24), 'Valor': 22101.54}, {'Data Pagamento': datetime.date(2024, 8, 11), 'Valor': 2899.11}, {'Data Pagamento': datetime.date(2024, 1, 7), 'Valor': 2846.26}, {'Data Pagamento': datetime.date(2023, 6, 23), 'Valor': 26.91}, {'Data Pagamento': datetime.date(2024, 8, 11), 'Valor': 225.35}]"
1651,2020-12-10,10105.0,1,Novaes,Ministério do Desenvolvimento Regional,10105.0,2135.5,1970.5900000000001,"[datetime.date(2021, 1, 7)]",-8.04756,-34.877,Nordeste,PE,"[{'Data Pagamento': datetime.date(2021, 1, 7), 'Valor': 5998.91}]"
4952,2022-11-09,33054.63,3,Rodrigues,Ministério da Saúde,33054.63,26898.22,504.1099999999965,"[datetime.date(2025, 4, 15), datetime.date(2023, 12, 26), datetime.date(2025, 9, 9)]",-20.3155,-40.3128,Sudeste,ES,"[{'Data Pagamento': datetime.date(2025, 4, 15), 'Valor': 2479.14}, {'Data Pagamento': datetime.date(2023, 12, 26), 'Valor': 333.31}, {'Data Pagamento': datetime.date(2025, 9, 9), 'Valor': 2839.85}]"
7675,2021-12-06,27037.36,4,Caldeira e Filhos,Ministério da Defesa,27037.36,17113.21,63.060000000001764,"[datetime.date(2023, 7, 2), datetime.date(2022, 8, 3), datetime.date(2025, 1, 1), datetime.date(2024, 12, 25)]",-16.6864,-49.2643,Centro-Oeste,GO,"[{'Data Pagamento': datetime.date(2023, 7, 2), 'Valor': 6303.73}, {'Data Pagamento': datetime.date(2022, 8, 3), 'Valor': 710.38}, {'Data Pagamento': datetime.date(2025, 1, 1), 'Valor': 802.46}, {'Data Pagamento': datetime.date(2024, 12, 25), 'Valor': 2044.52}]"
9649,2018-12-12,23335.27,5,Cardoso S/A,Ministério do Meio Ambiente,23335.27,22270.72,5.9099999999992185,"[datetime.date(2020, 10, 29), datetime.date(2021, 6, 17), datetime.date(2023, 5, 12), datetime.date(2019, 9, 14), datetime.date(2022, 7, 9)]",-20.3155,-40.3128,Sudeste,ES,"[{'Data Pagamento': datetime.date(2020, 10, 29), 'Valor': 184.98}, {'Data Pagamento': datetime.date(2021, 6, 17), 'Valor': 826.21}, {'Data Pagamento': datetime.date(2023, 5, 12), 'Valor': 30.15}, {'Data Pagamento': datetime.date(2019, 9, 14), 'Valor': 7.32}, {'Data Pagamento': datetime.date(2022, 7, 9), 'Valor': 9.98}]"
5154,2019-01-31,40566.46,5,Cardoso,"Ministério da Agricultura, Pecuária e Abastecimento",40566.46,8664.93,6207.459999999999,"[datetime.date(2020, 3, 5), datetime.date(2022, 12, 14), datetime.date(2021, 4, 7), datetime.date(2023, 10, 28), datetime.date(2023, 3, 21)]",-19.9102,-43.9266,Sudeste,MG,"[{'Data Pagamento': datetime.date(2020, 3, 5), 'Valor': 3994.14}, {'Data Pagamento': datetime.date(2022, 12, 14), 'Valor': 3797.25}, {'Data Pagamento': datetime.date(2021, 4, 7), 'Valor': 6485.66}, {'Data Pagamento': datetime.date(2023, 10, 28), 'Valor': 2998.57}, {'Data Pagamento': datetime.date(2023, 3, 21), 'Valor': 8418.45}]"
5109,2019-04-26,22784.06,3,Moura Lopes e Filhos,Ministério da Educação,22784.06,8524.59,5695.210000000002,"[datetime.date(2020, 10, 23), datetime.date(2022, 2, 26), datetime.date(2021, 5, 22)]",-3.7172,-38.5433,Nordeste,CE,"[{'Data Pagamento': datetime.date(2020, 10, 23), 'Valor': 7271.73}, {'Data Pagamento': datetime.date(2022, 2, 26), 'Valor': 95.9}, {'Data Pagamento': datetime.date(2021, 5, 22), 'Valor': 1196.63}]"
1384,2018-11-12,21277.88,3,Araújo da Rocha - ME,Ministério da Defesa,21277.88,11128.69,2116.9200000000005,"[datetime.date(2019, 6, 5), datetime.date(2020, 2, 28), datetime.date(2019, 10, 27)]",0.0356,-51.0706,Norte,AP,"[{'Data Pagamento': datetime.date(2019, 6, 5), 'Valor': 6670.34}, {'Data Pagamento': datetime.date(2020, 2, 28), 'Valor': 108.33}, {'Data Pagamento': datetime.date(2019, 10, 27), 'Valor': 1253.6}]"
3693,2021-03-13,28218.34,1,Silveira,Ministério da Defesa,28218.34,22333.3,3214.100000000001,"[datetime.date(2021, 6, 15)]",-3.7172,-38.5433,Nordeste,CE,"[{'Data Pagamento': datetime.date(2021, 6, 15), 'Valor': 2670.94}]"
8767,2022-04-03,16495.1,2,Duarte,Ministério das Relações Exteriores,16495.1,15865.0,14.909999999998547,"[datetime.date(2023, 12, 17), datetime.date(2022, 12, 19)]",2.82185,-60.6715,Norte,RR,"[{'Data Pagamento': datetime.date(2023, 12, 17), 'Valor': 133.86}, {'Data Pagamento': datetime.date(2022, 12, 19), 'Valor': 481.33}]"
5221,2022-08-18,46706.19,3,Nunes S/A,Ministério do Meio Ambiente,46706.19,44483.17,61.400000000003956,"[datetime.date(2024, 8, 16), datetime.date(2022, 10, 21), datetime.date(2025, 6, 10)]",2.82185,-60.6715,Norte,RR,"[{'Data Pagamento': datetime.date(2024, 8, 16), 'Valor': 1668.64}, {'Data Pagamento': datetime.date(2022, 10, 21), 'Valor': 228.37}, {'Data Pagamento': datetime.date(2025, 6, 10), 'Valor': 264.61}]"
8470,2022-12-20,27583.9,4,da Mota,"Ministério da Agricultura, Pecuária e Abastecimento",27583.9,2341.2,1246.4699999999991,"[datetime.date(2024, 12, 27), datetime.date(2024, 3, 5), datetime.date(2025, 3, 5), datetime.date(2026, 11, 22)]",-30.0328,-51.2176,Sul,RS,"[{'Data Pagamento': datetime.date(2024, 12, 27), 'Valor': 18516.22}, {'Data Pagamento': datetime.date(2024, 3, 5), 'Valor': 2982.3}, {'Data Pagamento': datetime.date(2025, 3, 5), 'Valor': 1588.51}, {'Data Pagamento': datetime.date(2026, 11, 22), 'Valor': 909.2}]"
6315,2022-06-11,42084.81,1,Farias - EI,Ministério da Economia,42084.81,20225.4,9384.229999999996,"[datetime.date(2022, 9, 26)]",-10.9472,-37.0731,Nordeste,SE,"[{'Data Pagamento': datetime.date(2022, 9, 26), 'Valor': 12475.18}]"
4410,2019-03-06,15190.82,5,Rodrigues Ltda.,Ministério da Justiça,15190.82,10969.43,12.99999999999919,"[datetime.date(2023, 8, 22), datetime.date(2019, 7, 11), datetime.date(2020, 3, 4), datetime.date(2023, 5, 26), datetime.date(2022, 5, 2)]",-12.9714,-38.5014,Nordeste,BA,"[{'Data Pagamento': datetime.date(2023, 8, 22), 'Valor': 1164.72}, {'Data Pagamento': datetime.date(2019, 7, 11), 'Valor': 1813.09}, {'Data Pagamento': datetime.date(2020, 3, 4), 'Valor': 959.69}, {'Data Pagamento': datetime.date(2023, 5, 26), 'Valor': 220.69}, {'Data Pagamento': datetime.date(2022, 5, 2), 'Valor': 50.2}]"
6350,2020-09-10,49302.82,4,da Luz,Ministério do Desenvolvimento Regional,49302.82,5055.99,2761.720000000002,"[datetime.date(2024, 7, 22), datetime.date(2022, 7, 21), datetime.date(2024, 2, 11), datetime.date(2020, 11, 27)]",0.0356,-51.0706,Norte,AP,"[{'Data Pagamento': datetime.date(2024, 7, 22), 'Valor': 30109.46}, {'Data Pagamento': datetime.date(2022, 7, 21), 'Valor': 3986.1}, {'Data Pagamento': datetime.date(2024, 2, 11), 'Valor': 1884.93}, {'Data Pagamento': datetime.date(2020, 11, 27), 'Valor': 5504.62}]"
7394,2021-06-09,35964.25,4,Nunes - EI,Ministério da Defesa,35964.25,33874.18,4.74999999999976,"[datetime.date(2024, 11, 7), datetime.date(2021, 11, 14), datetime.date(2024, 10, 7), datetime.date(2025, 4, 3)]",-9.66599,-35.735,Nordeste,AL,"[{'Data Pagamento': datetime.date(2024, 11, 7), 'Valor': 447.52}, {'Data Pagamento': datetime.date(2021, 11, 14), 'Valor': 1519.54}, {'Data Pagamento': datetime.date(2024, 10, 7), 'Valor': 109.98}, {'Data Pagamento': datetime.date(2025, 4, 3), 'Valor': 8.28}]"
7401,2023-03-07,17186.45,1,Silva,Ministério da Justiça,17186.45,14494.69,2353.3100000000004,"[datetime.date(2023, 8, 12)]",-22.9068,-43.1729,Sudeste,RJ,"[{'Data Pagamento': datetime.date(2023, 8, 12), 'Valor': 338.45}]"
3233,2018-11-14,45185.27,3,Caldeira,Ministério da Educação,45185.27,10080.46,1478.4299999999985,"[datetime.date(2018, 11, 15), datetime.date(2019, 7, 8), datetime.date(2020, 8, 29)]",-10.2128,-48.3607,Norte,TO,"[{'Data Pagamento': datetime.date(2018, 11, 15), 'Valor': 21736.89}, {'Data Pagamento': datetime.date(2019, 7, 8), 'Valor': 5319.19}, {'Data Pagamento': datetime.date(2020, 8, 29), 'Valor': 6570.3}]"
7838,2022-10-01,12168.95,4,Moura,Ministério da Educação,12168.95,11612.9,22.47000000000105,"[datetime.date(2025, 5, 28), datetime.date(2023, 1, 19), datetime.date(2023, 11, 17), datetime.date(2025, 6, 15)]",-15.7801,-47.9292,Centro-Oeste,DF,"[{'Data Pagamento': datetime.date(2025, 5, 28), 'Valor': 192.36}, {'Data Pagamento': datetime.date(2023, 1, 19), 'Valor': 100.35}, {'Data Pagamento': datetime.date(2023, 11, 17), 'Valor': 230.4}, {'Data Pagamento': datetime.date(2025, 6, 15), 'Valor': 10.47}]"
6439,2023-02-18,27052.52,5,Azevedo,Ministério da Saúde,27052.52,10795.9,51.46000000000184,"[datetime.date(2027, 9, 2), datetime.date(2023, 7, 15), datetime.date(2023, 10, 11), datetime.date(2024, 3, 11), datetime.date(2026, 3, 15)]",-5.79447,-35.211,Nordeste,RN,"[{'Data Pagamento': datetime.date(2027, 9, 2), 'Valor': 7985.86}, {'Data Pagamento': datetime.date(2023, 7, 15), 'Valor': 7387.3}, {'Data Pagamento': datetime.date(2023, 10, 11), 'Valor': 729.24}, {'Data Pagamento': datetime.date(2024, 3, 11), 'Valor': 0.68}, {'Data Pagamento': datetime.date(2026, 3, 15), 'Valor': 102.08}]"
5253,2020-11-29,35927.39,5,Caldeira - EI,"Ministério da Agricultura, Pecuária e Abastecimento",35927.39,16778.47,653.6799999999982,"[datetime.date(2024, 6, 17), datetime.date(2023, 9, 18), datetime.date(2025, 5, 1), datetime.date(2024, 3, 25), datetime.date(2021, 10, 20)]",-10.9472,-37.0731,Nordeste,SE,"[{'Data Pagamento': datetime.date(2024, 6, 17), 'Valor': 8785.82}, {'Data Pagamento': datetime.date(2023, 9, 18), 'Valor': 9105.85}, {'Data Pagamento': datetime.date(2025, 5, 1), 'Valor': 531.55}, {'Data Pagamento': datetime.date(2024, 3, 25), 'Valor': 39.39}, {'Data Pagamento': datetime.date(2021, 10, 20), 'Valor': 32.63}]"
3196,2022-04-05,19101.96,5,Silva,"Ministério da Agricultura, Pecuária e Abastecimento",19101.96,8045.43,101.63999999999882,"[datetime.date(2024, 6, 28), datetime.date(2024, 12, 21), datetime.date(2025, 3, 25), datetime.date(2025, 3, 13), datetime.date(2027, 3, 5)]",-20.4486,-54.6295,Centro-Oeste,MS,"[{'Data Pagamento': datetime.date(2024, 6, 28), 'Valor': 3858.92}, {'Data Pagamento': datetime.date(2024, 12, 21), 'Valor': 4066.95}, {'Data Pagamento': datetime.date(2025, 3, 25), 'Valor': 2613.61}, {'Data Pagamento': datetime.date(2025, 3, 13), 'Valor': 244.63}, {'Data Pagamento': datetime.date(2027, 3, 5), 'Valor': 170.78}]"
4634,2023-01-29,41843.18,5,Rodrigues - EI,Ministério da Justiça,41843.18,14182.77,377.0799999999995,"[datetime.date(2025, 8, 23), datetime.date(2025, 7, 9), datetime.date(2026, 9, 28), datetime.date(2027, 8, 8), datetime.date(2027, 12, 22)]",-23.5505,-46.6333,Sudeste,SP,"[{'Data Pagamento': datetime.date(2025, 8, 23), 'Valor': 15929.85}, {'Data Pagamento': datetime.date(2025, 7, 9), 'Valor': 5608.18}, {'Data Pagamento': datetime.date(2026, 9, 28), 'Valor': 2838.64}, {'Data Pagamento': datetime.date(2027, 8, 8), 'Valor': 379.81}, {'Data Pagamento': datetime.date(2027, 12, 22), 'Valor': 2526.85}]"
3512,2020-05-05,46628.15,1,da Cruz Cunha e Filhos,Ministério das Relações Exteriores,46628.15,7977.33,26800.17,"[datetime.date(2021, 2, 4)]",-16.6864,-49.2643,Centro-Oeste,GO,"[{'Data Pagamento': datetime.date(2021, 2, 4), 'Valor': 11850.65}]"
9990,2023-09-24,31115.53,4,Ramos Sales Ltda.,Ministério da Educação,31115.53,13347.67,66.33000000000146,"[datetime.date(2026, 10, 22), datetime.date(2023, 10, 28), datetime.date(2026, 5, 11), datetime.date(2027, 1, 13)]",-20.4486,-54.6295,Centro-Oeste,MS,"[{'Data Pagamento': datetime.date(2026, 10, 22), 'Valor': 15826.3}, {'Data Pagamento': datetime.date(2023, 10, 28), 'Valor': 1329.87}, {'Data Pagamento': datetime.date(2026, 5, 11), 'Valor': 541.05}, {'Data Pagamento': datetime.date(2027, 1, 13), 'Valor': 4.31}]"
3288,2018-12-30,44479.1,4,Cardoso,Ministério do Desenvolvimento Regional,44479.1,30412.7,182.37999999999715,"[datetime.date(2019, 5, 30), datetime.date(2020, 1, 30), datetime.date(2020, 8, 18), datetime.date(2020, 6, 18)]",-19.9102,-43.9266,Sudeste,MG,"[{'Data Pagamento': datetime.date(2019, 5, 30), 'Valor': 13365.53}, {'Data Pagamento': datetime.date(2020, 1, 30), 'Valor': 94.09}, {'Data Pagamento': datetime.date(2020, 8, 18), 'Valor': 405.95}, {'Data Pagamento': datetime.date(2020, 6, 18), 'Valor': 18.45}]"
3724,2023-05-23,37709.42,4,Rocha,Ministério do Meio Ambiente,37709.42,8738.17,4300.709999999999,"[datetime.date(2024, 4, 24), datetime.date(2026, 8, 4), datetime.date(2024, 10, 28), datetime.date(2024, 3, 2)]",-5.09194,-42.8034,Nordeste,PI,"[{'Data Pagamento': datetime.date(2024, 4, 24), 'Valor': 2540.86}, {'Data Pagamento': datetime.date(2026, 8, 4), 'Valor': 1936.05}, {'Data Pagamento': datetime.date(2024, 10, 28), 'Valor': 18897.29}, {'Data Pagamento': datetime.date(2024, 3, 2), 'Valor': 1296.34}]"
4098,2018-12-26,46795.53,5,Carvalho,Ministério da Defesa,46795.53,24563.3,2377.8999999999996,"[datetime.date(2021, 11, 2), datetime.date(2022, 9, 26), datetime.date(2019, 7, 22), datetime.date(2019, 12, 6), datetime.date(2020, 5, 17)]",-10.2128,-48.3607,Norte,TO,"[{'Data Pagamento': datetime.date(2021, 11, 2), 'Valor': 15722.91}, {'Data Pagamento': datetime.date(2022, 9, 26), 'Valor': 2693.42}, {'Data Pagamento': datetime.date(2019, 7, 22), 'Valor': 919.92}, {'Data Pagamento': datetime.date(2019, 12, 6), 'Valor': 451.69}, {'Data Pagamento': datetime.date(2020, 5, 17), 'Valor': 66.39}]"
2539,2022-07-07,37399.24,3,Nunes,Ministério da Defesa,37399.24,292.66,2681.119999999997,"[datetime.date(2025, 4, 16), datetime.date(2025, 2, 19), datetime.date(2024, 3, 18)]",-10.9472,-37.0731,Nordeste,SE,"[{'Data Pagamento': datetime.date(2025, 4, 16), 'Valor': 24530.53}, {'Data Pagamento': datetime.date(2025, 2, 19), 'Valor': 458.38}, {'Data Pagamento': datetime.date(2024, 3, 18), 'Valor': 9436.55}]"
2393,2018-11-09,46063.08,4,da Cruz - ME,Ministério da Economia,46063.08,39169.25,20.66000000000162,"[datetime.date(2021, 6, 8), datetime.date(2020, 12, 28), datetime.date(2019, 5, 5), datetime.date(2021, 12, 24)]",-8.76077,-63.8999,Norte,RO,"[{'Data Pagamento': datetime.date(2021, 6, 8), 'Valor': 6252.13}, {'Data Pagamento': datetime.date(2020, 12, 28), 'Valor': 535.1}, {'Data Pagamento': datetime.date(2019, 5, 5), 'Valor': 78.24}, {'Data Pagamento': datetime.date(2021, 12, 24), 'Valor': 7.7}]"
1855,2019-04-05,45779.49,3,Vieira,Ministério da Economia,45779.49,36431.7,3006.640000000001,"[datetime.date(2022, 3, 8), datetime.date(2021, 8, 19), datetime.date(2021, 11, 8)]",-2.53874,-44.2825,Nordeste,MA,"[{'Data Pagamento': datetime.date(2022, 3, 8), 'Valor': 5016.35}, {'Data Pagamento': datetime.date(2021, 8, 19), 'Valor': 433.37}, {'Data Pagamento': datetime.date(2021, 11, 8), 'Valor': 891.43}]"
3015,2021-03-05,39503.36,5,Ferreira,Ministério da Saúde,39503.36,5353.85,573.8800000000037,"[datetime.date(2024, 10, 23), datetime.date(2024, 1, 8), datetime.date(2023, 9, 3), datetime.date(2023, 6, 26), datetime.date(2021, 10, 30)]",-23.5505,-46.6333,Sudeste,SP,"[{'Data Pagamento': datetime.date(2024, 10, 23), 'Valor': 19491.85}, {'Data Pagamento': datetime.date(2024, 1, 8), 'Valor': 7972.99}, {'Data Pagamento': datetime.date(2023, 9, 3), 'Valor': 3637.87}, {'Data Pagamento': datetime.date(2023, 6, 26), 'Valor': 1325.64}, {'Data Pagamento': datetime.date(2021, 10, 30), 'Valor': 1147.28}]"
